Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
120,2005,NBA,1,2,ATL,Marvin Williams\willima02,19.014,F,us,UNC,2006,2019,1014,28.6,10.5,5.3,1.3,0.8,0.5,.443,.480,.362,.807,62.7,.104
121,1991,NBA,1,2,NJN,Kenny Anderson\anderke01,20.265,G,us,Georgia Tech,1992,2005,858,30.1,12.6,3.1,6.1,1.5,0.1,.421,.436,.346,.790,62.5,.116
122,1996,NBA,1,24,LAL,Derek Fisher\fishede01,21.327,G,us,Little Rock,1997,2014,1287,25.4,8.3,2.1,3.0,1.1,0.1,.399,.413,.374,.817,62.3,.091
123,1999,NBA,1,13,SEA,Corey Maggette\maggeco01,19.235,F,us,Duke,2000,2013,827,28.2,16.0,4.9,2.1,0.7,0.2,.453,.478,.324,.822,62.2,.128
124,1993,NBA,1,3,GSW,Anfernee Hardaway\hardaan01,21.353,G-F,us,Memphis,1994,2008,704,33.7,15.2,4.5,5.0,1.6,0.4,.458,.489,.316,.774,61.9,.125
125,1987,NBA,1,9,SEA,Derrick McKey\mckeyde01,20.260,F-C,us,Alabama,1988,2002,937,29.1,11.0,4.7,2.4,1.1,0.7,.486,.500,.316,.779,61.8,.109
126,2007,NBA,1,9,CHI,Joakim Noah\noahjo01,22.128,C,us,Florida,2008,2019,667,27.9,8.8,9.1,2.8,0.8,1.3,.491,.493,.000,.700,61.8,.160
127,2004,NBA,1,26,SAC,Kevin Martin\martike02,21.149,G,us,Western Carolina University,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,.437,.464,.384,.870,61.3,.137
128,2005,NBA,2,57,PHO,Marcin Gortat\gortama01,21.137,C-F,pl,,2008,2019,806,25.7,9.9,7.9,1.1,0.5,1.1,.551,.553,.150,.680,61.3,.142
129,1999,NBA,1,16,CHI,Metta World Peace\artesro01,19.234,F,us,St. John's,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,.414,.447,.339,.715,61.1,.093
130,2000,NBA,1,5,ORL,Mike Miller\millemi01,20.135,F-G,us,Florida,2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,.459,.502,.407,.769,60.7,.105
131,2000,NBA,1,8,CLE,Jamal Crawford\crawfja01,20.105,G,us,Michigan,2001,2019,1326,29.4,14.6,2.2,3.4,0.9,0.2,.410,.449,.348,.862,60.6,.075
132,1995,NBA,1,1,GSW,Joe Smith\smithjo02,19.342,F,us,Maryland,1996,2011,1030,26.2,10.9,6.4,1.0,0.6,0.8,.455,.458,.238,.790,60.3,.107
133,2009,NBA,1,9,TOR,DeMar DeRozan\derozde01,19.327,G-F,us,USC,2010,2019,752,34.1,19.9,4.3,3.4,1.0,0.3,.451,.470,.283,.828,60.3,.113
